Module                  Size  Used by
crc32_pclmul           12288  0
typec_ucsi             61440  1 ucsi_acpi
xhci_pci_renesas       20480  1 xhci_pci
realtek                36864  1
nvme_auth              28672  1 nvme_core
typec                 106496  1 typec_ucsi
wmi                    28672  5 video,nvidia_wmi_ec_backlight,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
hid                   180224  4 i2c_hid,usbhid,hid_multitouch,hid_generic
